,Grand Prix,Date,Car,Race Position,PTS,Name,Total PTS
0,Australia,2019-03-17,Mercedes,2,18,Hamilton,18
1,Bahrain,2019-03-31,Mercedes,1,25,Hamilton,43
2,China,2019-04-14,Mercedes,1,25,Hamilton,68
3,Azerbaijan,2019-04-28,Mercedes,2,18,Hamilton,86
4,Spain,2019-05-12,Mercedes,1,26,Hamilton,112
5,Monaco,2019-05-26,Mercedes,1,25,Hamilton,137
6,Canada,2019-06-09,Mercedes,1,25,Hamilton,162
7,France,2019-06-23,Mercedes,1,25,Hamilton,187
8,Austria,2019-06-30,Mercedes,5,10,Hamilton,197
9,Great Britain,2019-07-14,Mercedes,1,26,Hamilton,223
10,Germany,2019-07-28,Mercedes,9,2,Hamilton,225
11,Hungary,2019-08-04,Mercedes,1,25,Hamilton,250
12,Belgium,2019-09-01,Mercedes,2,18,Hamilton,268
13,Italy,2019-09-08,Mercedes,3,16,Hamilton,284
14,Singapore,2019-09-22,Mercedes,4,12,Hamilton,296
15,Russia,2019-09-29,Mercedes,1,26,Hamilton,322
16,Japan,2019-10-13,Mercedes,3,16,Hamilton,338
17,Mexico,2019-10-27,Mercedes,1,25,Hamilton,363
18,United States,2019-11-03,Mercedes,2,18,Hamilton,381
19,Brazil,2019-11-17,Mercedes,7,6,Hamilton,387
20,Abu Dhabi,2019-12-01,Mercedes,1,26,Hamilton,413
0,Australia,2019-03-17,Mercedes,1,26,Bottas,26
1,Bahrain,2019-03-31,Mercedes,2,18,Bottas,44
2,China,2019-04-14,Mercedes,2,18,Bottas,62
3,Azerbaijan,2019-04-28,Mercedes,1,25,Bottas,87
4,Spain,2019-05-12,Mercedes,2,18,Bottas,105
5,Monaco,2019-05-26,Mercedes,3,15,Bottas,120
6,Canada,2019-06-09,Mercedes,4,13,Bottas,133
7,France,2019-06-23,Mercedes,2,18,Bottas,151
8,Austria,2019-06-30,Mercedes,3,15,Bottas,166
9,Great Britain,2019-07-14,Mercedes,2,18,Bottas,184
10,Germany,2019-07-28,Mercedes,DNF,0,Bottas,184
11,Hungary,2019-08-04,Mercedes,8,4,Bottas,188
12,Belgium,2019-09-01,Mercedes,3,15,Bottas,203
13,Italy,2019-09-08,Mercedes,2,18,Bottas,221
14,Singapore,2019-09-22,Mercedes,5,10,Bottas,231
15,Russia,2019-09-29,Mercedes,2,18,Bottas,249
16,Japan,2019-10-13,Mercedes,1,25,Bottas,274
17,Mexico,2019-10-27,Mercedes,3,15,Bottas,289
18,United States,2019-11-03,Mercedes,1,25,Bottas,314
19,Brazil,2019-11-17,Mercedes,DNF,0,Bottas,314
20,Abu Dhabi,2019-12-01,Mercedes,4,12,Bottas,326
0,Australia,2019-03-17,Red Bull Racing Honda,3,15,Verstappen,15
1,Bahrain,2019-03-31,Red Bull Racing Honda,4,12,Verstappen,27
2,China,2019-04-14,Red Bull Racing Honda,4,12,Verstappen,39
3,Azerbaijan,2019-04-28,Red Bull Racing Honda,4,12,Verstappen,51
4,Spain,2019-05-12,Red Bull Racing Honda,3,15,Verstappen,66
5,Monaco,2019-05-26,Red Bull Racing Honda,4,12,Verstappen,78
6,Canada,2019-06-09,Red Bull Racing Honda,5,10,Verstappen,88
7,France,2019-06-23,Red Bull Racing Honda,4,12,Verstappen,100
8,Austria,2019-06-30,Red Bull Racing Honda,1,26,Verstappen,126
9,Great Britain,2019-07-14,Red Bull Racing Honda,5,10,Verstappen,136
10,Germany,2019-07-28,Red Bull Racing Honda,1,26,Verstappen,162
11,Hungary,2019-08-04,Red Bull Racing Honda,2,19,Verstappen,181
12,Belgium,2019-09-01,Red Bull Racing Honda,DNF,0,Verstappen,181
13,Italy,2019-09-08,Red Bull Racing Honda,8,4,Verstappen,185
14,Singapore,2019-09-22,Red Bull Racing Honda,3,15,Verstappen,200
15,Russia,2019-09-29,Red Bull Racing Honda,4,12,Verstappen,212
16,Japan,2019-10-13,Red Bull Racing Honda,DNF,0,Verstappen,212
17,Mexico,2019-10-27,Red Bull Racing Honda,6,8,Verstappen,220
18,United States,2019-11-03,Red Bull Racing Honda,3,15,Verstappen,235
19,Brazil,2019-11-17,Red Bull Racing Honda,1,25,Verstappen,260
20,Abu Dhabi,2019-12-01,Red Bull Racing Honda,2,18,Verstappen,278
0,Australia,2019-03-17,Ferrari,5,10,Leclerc,10
1,Bahrain,2019-03-31,Ferrari,3,16,Leclerc,26
2,China,2019-04-14,Ferrari,5,10,Leclerc,36
3,Azerbaijan,2019-04-28,Ferrari,5,11,Leclerc,47
4,Spain,2019-05-12,Ferrari,5,10,Leclerc,57
5,Monaco,2019-05-26,Ferrari,DNF,0,Leclerc,57
6,Canada,2019-06-09,Ferrari,3,15,Leclerc,72
7,France,2019-06-23,Ferrari,3,15,Leclerc,87
8,Austria,2019-06-30,Ferrari,2,18,Leclerc,105
9,Great Britain,2019-07-14,Ferrari,3,15,Leclerc,120
10,Germany,2019-07-28,Ferrari,DNF,0,Leclerc,120
11,Hungary,2019-08-04,Ferrari,4,12,Leclerc,132
12,Belgium,2019-09-01,Ferrari,1,25,Leclerc,157
13,Italy,2019-09-08,Ferrari,1,25,Leclerc,182
14,Singapore,2019-09-22,Ferrari,2,18,Leclerc,200
15,Russia,2019-09-29,Ferrari,3,15,Leclerc,215
16,Japan,2019-10-13,Ferrari,6,8,Leclerc,223
17,Mexico,2019-10-27,Ferrari,4,13,Leclerc,236
18,United States,2019-11-03,Ferrari,4,13,Leclerc,249
19,Brazil,2019-11-17,Ferrari,DNF,0,Leclerc,249
20,Abu Dhabi,2019-12-01,Ferrari,3,15,Leclerc,264
0,Australia,2019-03-17,Ferrari,4,12,Vettel,12
1,Bahrain,2019-03-31,Ferrari,5,10,Vettel,22
2,China,2019-04-14,Ferrari,3,15,Vettel,37
3,Azerbaijan,2019-04-28,Ferrari,3,15,Vettel,52
4,Spain,2019-05-12,Ferrari,4,12,Vettel,64
5,Monaco,2019-05-26,Ferrari,2,18,Vettel,82
6,Canada,2019-06-09,Ferrari,2,18,Vettel,100
7,France,2019-06-23,Ferrari,5,11,Vettel,111
8,Austria,2019-06-30,Ferrari,4,12,Vettel,123
9,Great Britain,2019-07-14,Ferrari,16,0,Vettel,123
10,Germany,2019-07-28,Ferrari,2,18,Vettel,141
11,Hungary,2019-08-04,Ferrari,3,15,Vettel,156
12,Belgium,2019-09-01,Ferrari,4,13,Vettel,169
13,Italy,2019-09-08,Ferrari,13,0,Vettel,169
14,Singapore,2019-09-22,Ferrari,1,25,Vettel,194
15,Russia,2019-09-29,Ferrari,DNF,0,Vettel,194
16,Japan,2019-10-13,Ferrari,2,18,Vettel,212
17,Mexico,2019-10-27,Ferrari,2,18,Vettel,230
18,United States,2019-11-03,Ferrari,DNF,0,Vettel,230
19,Brazil,2019-11-17,Ferrari,DNF,0,Vettel,230
20,Abu Dhabi,2019-12-01,Ferrari,5,10,Vettel,240
0,Australia,2019-03-17,McLaren Renault,DNF,0,Sainz,0
1,Bahrain,2019-03-31,McLaren Renault,DNF,0,Sainz,0
2,China,2019-04-14,McLaren Renault,14,0,Sainz,0
3,Azerbaijan,2019-04-28,McLaren Renault,7,6,Sainz,6
4,Spain,2019-05-12,McLaren Renault,8,4,Sainz,10
5,Monaco,2019-05-26,McLaren Renault,6,8,Sainz,18
6,Canada,2019-06-09,McLaren Renault,11,0,Sainz,18
7,France,2019-06-23,McLaren Renault,6,8,Sainz,26
8,Austria,2019-06-30,McLaren Renault,8,4,Sainz,30
9,Great Britain,2019-07-14,McLaren Renault,6,8,Sainz,38
10,Germany,2019-07-28,McLaren Renault,5,10,Sainz,48
11,Hungary,2019-08-04,McLaren Renault,5,10,Sainz,58
12,Belgium,2019-09-01,McLaren Renault,DNF,0,Sainz,58
13,Italy,2019-09-08,McLaren Renault,DNF,0,Sainz,58
14,Singapore,2019-09-22,McLaren Renault,12,0,Sainz,58
15,Russia,2019-09-29,McLaren Renault,6,8,Sainz,66
16,Japan,2019-10-13,McLaren Renault,5,10,Sainz,76
17,Mexico,2019-10-27,McLaren Renault,13,0,Sainz,76
18,United States,2019-11-03,McLaren Renault,8,4,Sainz,80
19,Brazil,2019-11-17,McLaren Renault,3,15,Sainz,95
20,Abu Dhabi,2019-12-01,McLaren Renault,10,1,Sainz,96
0,Australia,2019-03-17,Red Bull Racing Honda,11,0,Gasly,0
1,Bahrain,2019-03-31,Red Bull Racing Honda,8,4,Gasly,4
2,China,2019-04-14,Red Bull Racing Honda,6,9,Gasly,13
3,Azerbaijan,2019-04-28,Red Bull Racing Honda,DNF,0,Gasly,13
4,Spain,2019-05-12,Red Bull Racing Honda,6,8,Gasly,21
5,Monaco,2019-05-26,Red Bull Racing Honda,5,11,Gasly,32
6,Canada,2019-06-09,Red Bull Racing Honda,8,4,Gasly,36
7,France,2019-06-23,Red Bull Racing Honda,10,1,Gasly,37
8,Austria,2019-06-30,Red Bull Racing Honda,7,6,Gasly,43
9,Great Britain,2019-07-14,Red Bull Racing Honda,4,12,Gasly,55
10,Germany,2019-07-28,Red Bull Racing Honda,DNF,0,Gasly,55
11,Hungary,2019-08-04,Red Bull Racing Honda,6,8,Gasly,63
12,Belgium,2019-09-01,Scuderia Toro Rosso Honda,9,2,Gasly,65
13,Italy,2019-09-08,Scuderia Toro Rosso Honda,11,0,Gasly,65
14,Singapore,2019-09-22,Scuderia Toro Rosso Honda,8,4,Gasly,69
15,Russia,2019-09-29,Scuderia Toro Rosso Honda,14,0,Gasly,69
16,Japan,2019-10-13,Scuderia Toro Rosso Honda,7,6,Gasly,75
17,Mexico,2019-10-27,Scuderia Toro Rosso Honda,9,2,Gasly,77
18,United States,2019-11-03,Scuderia Toro Rosso Honda,DNF,0,Gasly,77
19,Brazil,2019-11-17,Scuderia Toro Rosso Honda,2,18,Gasly,95
20,Abu Dhabi,2019-12-01,Scuderia Toro Rosso Honda,18,0,Gasly,95
0,Australia,2019-03-17,Scuderia Toro Rosso Honda,14,0,Albon,0
1,Bahrain,2019-03-31,Scuderia Toro Rosso Honda,9,2,Albon,2
2,China,2019-04-14,Scuderia Toro Rosso Honda,10,1,Albon,3
3,Azerbaijan,2019-04-28,Scuderia Toro Rosso Honda,11,0,Albon,3
4,Spain,2019-05-12,Scuderia Toro Rosso Honda,11,0,Albon,3
5,Monaco,2019-05-26,Scuderia Toro Rosso Honda,8,4,Albon,7
6,Canada,2019-06-09,Scuderia Toro Rosso Honda,DNF,0,Albon,7
7,France,2019-06-23,Scuderia Toro Rosso Honda,15,0,Albon,7
8,Austria,2019-06-30,Scuderia Toro Rosso Honda,15,0,Albon,7
9,Great Britain,2019-07-14,Scuderia Toro Rosso Honda,12,0,Albon,7
10,Germany,2019-07-28,Scuderia Toro Rosso Honda,6,8,Albon,15
11,Hungary,2019-08-04,Scuderia Toro Rosso Honda,10,1,Albon,16
12,Belgium,2019-09-01,Red Bull Racing Honda,5,10,Albon,26
13,Italy,2019-09-08,Red Bull Racing Honda,6,8,Albon,34
14,Singapore,2019-09-22,Red Bull Racing Honda,6,8,Albon,42
15,Russia,2019-09-29,Red Bull Racing Honda,5,10,Albon,52
16,Japan,2019-10-13,Red Bull Racing Honda,4,12,Albon,64
17,Mexico,2019-10-27,Red Bull Racing Honda,5,10,Albon,74
18,United States,2019-11-03,Red Bull Racing Honda,5,10,Albon,84
19,Brazil,2019-11-17,Red Bull Racing Honda,14,0,Albon,84
20,Abu Dhabi,2019-12-01,Red Bull Racing Honda,6,8,Albon,92
0,Australia,2019-03-17,Renault,DNF,0,Ricciardo,0
1,Bahrain,2019-03-31,Renault,DNF,0,Ricciardo,0
2,China,2019-04-14,Renault,7,6,Ricciardo,6
3,Azerbaijan,2019-04-28,Renault,DNF,0,Ricciardo,6
4,Spain,2019-05-12,Renault,12,0,Ricciardo,6
5,Monaco,2019-05-26,Renault,9,2,Ricciardo,8
6,Canada,2019-06-09,Renault,6,8,Ricciardo,16
7,France,2019-06-23,Renault,11,0,Ricciardo,16
8,Austria,2019-06-30,Renault,12,0,Ricciardo,16
9,Great Britain,2019-07-14,Renault,7,6,Ricciardo,22
